,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36061000100,873a924d-7237-4f65-a026-e9c4176f1932,2.44,3.14,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,11.26,873a924d-7237-4f65-a026-e9c4176f1932,2.44,3.14,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,11.26,873a924d-7237-4f65-a026-e9c4176f1932,2.44,3.14,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,11.26,873a924d-7237-4f65-a026-e9c4176f1932,2.44,3.14,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.44,11.26,c01c3921-1212-4497-add9-617e93738af3,3.41,5.27,c01c3921-1212-4497-add9-617e93738af3,3.41,6.98,c01c3921-1212-4497-add9-617e93738af3,3.41,6.98,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.86,14.07,66682907-6e8d-4b9b-b284-c36c6d482ab2,12.1,13.76,317c3e0a-b224-4c6e-a102-bc75351b16ba,3.59,7.31,dce566ac-e6ac-42fb-b965-e8c70b748862,8.37,12.57,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,19.55,23.69,d2e71b9b-79a9-4609-af8c-4d1843d59330,8.73,12.05,d2e71b9b-79a9-4609-af8c-4d1843d59330,8.73,10.3,d2e71b9b-79a9-4609-af8c-4d1843d59330,8.73,10.56,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.86,21.23
1,36061000201,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,3.61,87345a14-df30-490c-87af-1fca5bdda60e,2.7,3.25,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,4.61,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.78,10.68,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,3.61,b9a50000-6b85-469b-a076-5464b4a69f49,1.05,2.37,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,4.14,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.78,10.68,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,4.44,87345a14-df30-490c-87af-1fca5bdda60e,2.7,3.28,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,3.22,3.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.78,10.45,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,4.61,87345a14-df30-490c-87af-1fca5bdda60e,2.7,3.28,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,4.61,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.78,10.68,3b98244d-95d0-4112-9589-a971f5d15ee5,1.94,3.49,3b98244d-95d0-4112-9589-a971f5d15ee5,1.94,2.67,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.37,5.07,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,9.99,12.95,66682907-6e8d-4b9b-b284-c36c6d482ab2,6.09,8.82,87345a14-df30-490c-87af-1fca5bdda60e,2.7,3.62,dce566ac-e6ac-42fb-b965-e8c70b748862,3.83,8.52,879eab66-b34f-4caa-acca-3141e44bd29e,17.4,19.0,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.86,13.79,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.86,11.73,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.86,11.15,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,9.99,18.29
2,36061000600,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,2.95,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,2.28,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.83,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.65,10.44,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,2.95,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,2.28,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.83,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.65,10.44,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.67,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.0,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.28,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.65,10.44,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.83,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.0,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.83,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.65,10.44,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,2.71,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,2.38,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.69,3.49,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.48,11.48,66682907-6e8d-4b9b-b284-c36c6d482ab2,5.13,8.04,dce566ac-e6ac-42fb-b965-e8c70b748862,2.15,2.85,dce566ac-e6ac-42fb-b965-e8c70b748862,2.15,7.54,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,16.72,18.87,d2e71b9b-79a9-4609-af8c-4d1843d59330,8.34,13.07,d2e71b9b-79a9-4609-af8c-4d1843d59330,8.34,10.21,d2e71b9b-79a9-4609-af8c-4d1843d59330,8.34,9.58,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.48,18.37
3,36061001401,01776d97-82e2-4625-b14d-9014e4fc1782,1.61,2.32,87345a14-df30-490c-87af-1fca5bdda60e,0.63,1.4,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.97,3.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.39,10.04,01776d97-82e2-4625-b14d-9014e4fc1782,1.61,2.32,87345a14-df30-490c-87af-1fca5bdda60e,0.63,1.4,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.97,3.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.39,10.04,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.97,3.16,87345a14-df30-490c-87af-1fca5bdda60e,0.63,2.0,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,1.33,2.23,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.39,9.77,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.97,3.32,87345a14-df30-490c-87af-1fca5bdda60e,0.63,2.0,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.97,3.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.39,10.04,3b98244d-95d0-4112-9589-a971f5d15ee5,1.55,2.2,87345a14-df30-490c-87af-1fca5bdda60e,0.63,1.39,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.97,3.22,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,7.92,10.93,66682907-6e8d-4b9b-b284-c36c6d482ab2,4.06,6.78,87345a14-df30-490c-87af-1fca5bdda60e,0.63,1.78,bf09bf8d-af3a-4384-b183-f8a33846d5da,2.26,6.67,879eab66-b34f-4caa-acca-3141e44bd29e,15.33,17.53,d2e71b9b-79a9-4609-af8c-4d1843d59330,7.79,12.26,d2e71b9b-79a9-4609-af8c-4d1843d59330,7.79,9.66,d2e71b9b-79a9-4609-af8c-4d1843d59330,7.79,9.31,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,7.92,17.31
4,36061001402,01776d97-82e2-4625-b14d-9014e4fc1782,1.37,2.32,87345a14-df30-490c-87af-1fca5bdda60e,1.02,1.59,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,3.13,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,9.83,01776d97-82e2-4625-b14d-9014e4fc1782,1.37,2.32,87345a14-df30-490c-87af-1fca5bdda60e,1.02,1.59,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,3.13,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,9.83,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,2.96,87345a14-df30-490c-87af-1fca5bdda60e,1.02,2.2,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,0.82,2.14,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,9.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,3.13,87345a14-df30-490c-87af-1fca5bdda60e,1.02,2.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,3.13,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.39,9.75,fbacd514-b79b-43d4-a439-626639959398,2.28,2.65,87345a14-df30-490c-87af-1fca5bdda60e,1.02,1.92,fbacd514-b79b-43d4-a439-626639959398,2.28,3.09,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,7.47,10.23,66682907-6e8d-4b9b-b284-c36c6d482ab2,3.01,5.81,87345a14-df30-490c-87af-1fca5bdda60e,1.02,1.85,bf09bf8d-af3a-4384-b183-f8a33846d5da,1.21,6.27,879eab66-b34f-4caa-acca-3141e44bd29e,14.28,16.56,d2e71b9b-79a9-4609-af8c-4d1843d59330,7.33,11.61,d2e71b9b-79a9-4609-af8c-4d1843d59330,7.33,9.08,d2e71b9b-79a9-4609-af8c-4d1843d59330,7.33,9.3,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,7.47,16.46
5,36061001800,01776d97-82e2-4625-b14d-9014e4fc1782,1.15,1.86,01776d97-82e2-4625-b14d-9014e4fc1782,1.15,1.71,9c148d2f-6c8b-4a88-bd28-722a723c96cf,2.17,2.82,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.03,9.27,01776d97-82e2-4625-b14d-9014e4fc1782,1.15,1.86,01776d97-82e2-4625-b14d-9014e4fc1782,1.15,1.71,9c148d2f-6c8b-4a88-bd28-722a723c96cf,2.17,2.82,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.03,9.27,398a722b-2e51-4b2a-910a-b1f2e77738f2,1.76,2.06,398a722b-2e51-4b2a-910a-b1f2e77738f2,1.76,1.91,9c148d2f-6c8b-4a88-bd28-722a723c96cf,2.17,2.3,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.03,9.27,9c148d2f-6c8b-4a88-bd28-722a723c96cf,2.17,2.39,87345a14-df30-490c-87af-1fca5bdda60e,1.8,2.08,9c148d2f-6c8b-4a88-bd28-722a723c96cf,2.17,2.82,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.03,9.27,fbacd514-b79b-43d4-a439-626639959398,0.74,1.72,fbacd514-b79b-43d4-a439-626639959398,0.74,1.57,fbacd514-b79b-43d4-a439-626639959398,0.74,1.72,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.93,8.7,66682907-6e8d-4b9b-b284-c36c6d482ab2,2.99,5.8,dce566ac-e6ac-42fb-b965-e8c70b748862,1.55,1.67,dce566ac-e6ac-42fb-b965-e8c70b748862,1.55,5.68,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,13.82,16.51,d2e71b9b-79a9-4609-af8c-4d1843d59330,5.8,10.52,d2e71b9b-79a9-4609-af8c-4d1843d59330,5.8,7.55,d2e71b9b-79a9-4609-af8c-4d1843d59330,5.8,7.68,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.93,15.75
6,36061002201,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.36,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.22,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.93,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,10.72,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.06,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.06,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.77,2.14,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,10.72,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.51,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.38,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.77,2.14,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,10.72,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,4.19,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,3.48,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,4.93,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.86,10.72,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.77,2.52,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.77,2.38,fbacd514-b79b-43d4-a439-626639959398,5.26,5.73,59e1983d-fb0a-42cf-99d3-1465f5d89673,7.49,10.71,66682907-6e8d-4b9b-b284-c36c6d482ab2,2.6,5.4,bf09bf8d-af3a-4384-b183-f8a33846d5da,3.11,3.77,bf09bf8d-af3a-4384-b183-f8a33846d5da,3.11,8.0,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,14.58,16.64,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.91,12.66,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.91,10.67,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.91,11.87,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.05,15.98
7,36061002601,05aad5be-2987-4935-91b1-86cf9978d362,1.72,3.5,05aad5be-2987-4935-91b1-86cf9978d362,1.72,2.69,05aad5be-2987-4935-91b1-86cf9978d362,1.72,4.07,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.36,10.37,17fd80c7-262b-45b8-96d7-61127e6e9c97,1.71,2.88,17fd80c7-262b-45b8-96d7-61127e6e9c97,1.71,2.09,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.43,2.41,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.36,10.37,398a722b-2e51-4b2a-910a-b1f2e77738f2,4.1,4.3,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.0,3.49,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.43,2.08,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.36,10.37,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.36,4.97,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.0,3.59,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.36,5.72,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.36,10.37,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.43,2.43,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.43,1.62,fbacd514-b79b-43d4-a439-626639959398,5.69,6.16,59e1983d-fb0a-42cf-99d3-1465f5d89673,6.72,10.06,74e15d61-8005-496d-a8dc-4a3536b58964,2.56,4.52,74e15d61-8005-496d-a8dc-4a3536b58964,2.56,3.53,bf09bf8d-af3a-4384-b183-f8a33846d5da,3.54,7.75,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,12.99,15.72,d2e71b9b-79a9-4609-af8c-4d1843d59330,10.34,12.41,d2e71b9b-79a9-4609-af8c-4d1843d59330,10.34,10.55,d2e71b9b-79a9-4609-af8c-4d1843d59330,10.34,11.63,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.48,15.06
8,36061002602,05aad5be-2987-4935-91b1-86cf9978d362,0.86,3.79,05aad5be-2987-4935-91b1-86cf9978d362,0.86,2.4,05aad5be-2987-4935-91b1-86cf9978d362,0.86,4.08,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.22,10.08,17fd80c7-262b-45b8-96d7-61127e6e9c97,1.42,3.16,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.14,1.8,0cda860a-feae-4cb4-bb5a-a421e09a0145,2.29,3.27,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.22,10.08,398a722b-2e51-4b2a-910a-b1f2e77738f2,4.97,5.16,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.14,3.77,0cda860a-feae-4cb4-bb5a-a421e09a0145,2.29,2.94,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.22,10.08,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.22,5.71,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.14,3.88,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.22,5.85,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.22,10.08,0cda860a-feae-4cb4-bb5a-a421e09a0145,2.29,3.29,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.14,1.91,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,6.17,6.25,59e1983d-fb0a-42cf-99d3-1465f5d89673,6.42,9.96,74e15d61-8005-496d-a8dc-4a3536b58964,1.7,4.42,74e15d61-8005-496d-a8dc-4a3536b58964,1.7,3.81,bf09bf8d-af3a-4384-b183-f8a33846d5da,4.4,8.04,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,12.13,15.43,d2e71b9b-79a9-4609-af8c-4d1843d59330,11.2,12.7,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,10.16,10.74,d2e71b9b-79a9-4609-af8c-4d1843d59330,11.2,11.91,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,11.34,14.77
9,36061002800,05aad5be-2987-4935-91b1-86cf9978d362,2.01,4.68,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.72,2.92,05aad5be-2987-4935-91b1-86cf9978d362,2.01,4.02,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.37,9.7,17fd80c7-262b-45b8-96d7-61127e6e9c97,2.0,3.88,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.72,2.57,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.44,3.97,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.37,9.7,c764ca66-6b22-49a0-ac5c-fa760dbd4523,5.65,6.04,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.72,3.92,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.44,3.97,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.37,9.7,c764ca66-6b22-49a0-ac5c-fa760dbd4523,5.65,6.15,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.72,3.92,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,5.02,5.23,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.37,9.7,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.44,4.18,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.72,2.87,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,5.02,5.23,59e1983d-fb0a-42cf-99d3-1465f5d89673,6.44,9.72,74e15d61-8005-496d-a8dc-4a3536b58964,1.16,4.45,74e15d61-8005-496d-a8dc-4a3536b58964,1.16,4.4,bf09bf8d-af3a-4384-b183-f8a33846d5da,5.55,8.42,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,10.97,15.05,d2e71b9b-79a9-4609-af8c-4d1843d59330,12.35,13.08,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,9.17,10.31,0abbb27b-9ea5-41a4-9f6b-337631d74806,12.05,12.3,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.49,14.39
10,36061003100,317c3e0a-b224-4c6e-a102-bc75351b16ba,3.36,4.08,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,873a924d-7237-4f65-a026-e9c4176f1932,4.84,9.5,317c3e0a-b224-4c6e-a102-bc75351b16ba,3.36,4.08,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,873a924d-7237-4f65-a026-e9c4176f1932,4.84,9.5,317c3e0a-b224-4c6e-a102-bc75351b16ba,3.36,4.08,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,873a924d-7237-4f65-a026-e9c4176f1932,4.84,9.5,317c3e0a-b224-4c6e-a102-bc75351b16ba,3.36,4.08,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,c01c3921-1212-4497-add9-617e93738af3,4.05,4.34,873a924d-7237-4f65-a026-e9c4176f1932,4.84,9.5,317c3e0a-b224-4c6e-a102-bc75351b16ba,3.36,3.89,c01c3921-1212-4497-add9-617e93738af3,4.05,4.15,c01c3921-1212-4497-add9-617e93738af3,4.05,4.15,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.27,9.06,66682907-6e8d-4b9b-b284-c36c6d482ab2,8.24,9.72,317c3e0a-b224-4c6e-a102-bc75351b16ba,3.36,4.46,dce566ac-e6ac-42fb-b965-e8c70b748862,3.9,8.63,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,15.07,19.17,d2e71b9b-79a9-4609-af8c-4d1843d59330,4.14,9.14,d2e71b9b-79a9-4609-af8c-4d1843d59330,4.14,6.39,d2e71b9b-79a9-4609-af8c-4d1843d59330,4.14,5.69,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.27,16.67
11,36061003200,05aad5be-2987-4935-91b1-86cf9978d362,3.12,3.29,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.69,2.65,05aad5be-2987-4935-91b1-86cf9978d362,3.12,4.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.34,10.55,15c2f545-885e-46d8-8f8f-45743f91bd88,0.57,1.71,15c2f545-885e-46d8-8f8f-45743f91bd88,0.57,1.22,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.41,3.92,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.34,10.55,398a722b-2e51-4b2a-910a-b1f2e77738f2,2.91,3.67,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.69,2.58,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.41,3.9,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.34,10.55,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,3.15,4.47,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.69,3.13,e70e16d0-3e39-461a-9643-43a65eed6b87,4.94,5.31,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.34,10.55,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,3.15,3.32,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.69,2.75,fbacd514-b79b-43d4-a439-626639959398,4.5,4.72,59e1983d-fb0a-42cf-99d3-1465f5d89673,4.73,8.59,66682907-6e8d-4b9b-b284-c36c6d482ab2,1.37,3.29,74e15d61-8005-496d-a8dc-4a3536b58964,2.25,3.42,bf09bf8d-af3a-4384-b183-f8a33846d5da,3.46,6.92,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,11.76,15.74,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.14,11.86,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,8.85,9.09,d2e71b9b-79a9-4609-af8c-4d1843d59330,9.14,10.76,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,9.28,15.15
12,36061003300,c01c3921-1212-4497-add9-617e93738af3,3.07,4.56,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,873a924d-7237-4f65-a026-e9c4176f1932,5.41,9.99,c01c3921-1212-4497-add9-617e93738af3,3.07,4.56,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,873a924d-7237-4f65-a026-e9c4176f1932,5.41,9.99,c01c3921-1212-4497-add9-617e93738af3,3.07,4.56,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,873a924d-7237-4f65-a026-e9c4176f1932,5.41,9.99,c01c3921-1212-4497-add9-617e93738af3,3.07,4.56,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.83,873a924d-7237-4f65-a026-e9c4176f1932,5.41,9.99,c01c3921-1212-4497-add9-617e93738af3,3.07,3.8,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.07,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,3.07,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,3.14,8.38,944c0a47-dd0e-4dfe-bde6-75ffb4ac5819,8.44,9.77,317c3e0a-b224-4c6e-a102-bc75351b16ba,5.19,6.25,dce566ac-e6ac-42fb-b965-e8c70b748862,6.11,9.43,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,13.93,19.66,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,8.01,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,5.26,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.0,5.67,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,3.14,16.56
