GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),172.057,85517,178.833,85471,180.446,82998,185.687,FPC-626,178.478,85340,186.773,80491,173.041,80413,184.074,80720,191.762,FPC-625,182.423,FPC-559,195.456,85434,196.741,87046,189.688,80493,189.981,87247,188.673,84055,190.769,85521,188.766,81735,186.649,DSNY-BRS-2114,191.557,85544,187.957,85490,186.863,85523,190.724,87369,190.52,85368,189.339,84019,186.328,FPC-488
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),8.975,FPC-625,10.556,FPC-626,12.063,85434,16.677,87046,19.782,80491,18.064,85340,26.547,FPC-559,26.006,82998,26.003,85471,26.396,DSNY-BRS-2114,29.689,84055,27.704,85490,24.905,80720,17.617,85517,32.132,85544,26.076,87247,25.783,80493,30.242,FPC-488,27.614,85521,25.611,81735,31.901,84019,27.365,85368,32.332,80421,30.461,85523,36.724,85351
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,12.503,FPC-625,15.494,85434,15.066,80491,17.52,87046,13.348,85340,22.446,82998,21.831,FPC-559,22.575,85471,22.479,85517,20.189,80720,25.301,84055,21.941,DSNY-BRS-2114,23.249,85490,21.36,87247,21.067,80493,27.416,85544,25.526,FPC-488,22.898,85521,20.895,81735,22.649,85368,27.185,84019,25.745,85523,27.686,80421,27.444,87369
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),5.429,FPC-625,6.804,FPC-626,10.314,85434,14.459,80491,15.935,87046,23.072,FPC-559,23.687,82998,14.589,85340,25.976,84055,20.243,DSNY-BRS-2114,23.343,85471,21.551,85490,21.43,80720,23.719,85517,22.601,87247,28.657,85544,22.308,80493,24.139,85521,22.136,81735,26.767,FPC-488,23.89,85368,26.986,85523,28.426,84019,28.685,87369,26.227,80421
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),2.556,FPC-625,6.619,85434,10.672,FPC-626,13.197,87046,10.67,80491,19.997,FPC-559,20.612,82998,24.457,84055,20.107,DSNY-BRS-2114,21.415,85490,18.355,80720,14.472,85340,19.554,85471,25.582,85544,19.526,87247,19.233,80493,19.991,85517,21.064,85521,19.061,81735,20.815,85368,23.911,85523,26.65,FPC-488,25.61,87369,22.636,80421,28.309,84019
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),7.268,80491,6.249,FPC-626,8.139,FPC-625,11.894,85434,16.997,87046,19.559,FPC-559,19.566,82998,17.917,80720,20.048,85471,21.914,84055,16.489,DSNY-BRS-2114,17.797,85490,19.088,87247,18.795,80493,20.485,85517,14.034,85340,24.647,85544,20.059,85521,18.056,81735,19.81,85368,22.906,85523,25.172,87369,24.984,FPC-488,24.864,DSNY-BRS-1461,27.508,81199
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,5.675,FPC-625,8.148,87046,15.92,FPC-626,14.449,80491,23.498,FPC-559,20.247,DSNY-BRS-2114,21.555,85490,25.003,84055,26.343,82998,30.563,85544,24.086,80720,25.257,87247,20.494,85340,24.964,80493,26.052,85471,26.795,85521,24.792,81735,26.546,85368,26.489,85517,29.642,85523,32.672,FPC-488,29.195,80421,31.341,87369,33.424,81199
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),5.425,87046,8.656,85434,11.573,FPC-625,16.403,80491,17.905,FPC-626,17.729,DSNY-BRS-2114,18.82,85490,18.802,FPC-559,20.307,84055,27.027,85544,22.138,80720,26.156,87247,27.242,82998,25.863,80493,27.694,85521,25.691,81735,27.445,85368,23.115,85340,30.567,85471,29.792,85523,31.585,81199,32.24,87369,25.802,85517,35.293,FPC-488,30.435,80421
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),6.1,87046,11.116,85434,14.296,FPC-625,14.659,DSNY-BRS-2114,15.75,85490,18.471,80491,15.732,FPC-559,17.237,84055,19.466,FPC-626,23.957,85544,24.196,87247,19.068,80720,24.899,80493,26.396,85521,29.31,82998,25.146,81735,25.737,85368,26.722,85523,24.676,85340,30.627,85471,28.515,81199,30.618,87369,30.557,DSNY-BRS-1461,27.365,80421,22.732,85517
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),6.604,87046,14.268,85434,13.699,DSNY-BRS-2114,14.79,85490,17.185,FPC-625,16.277,84055,14.051,FPC-559,20.823,80491,22.997,85544,21.818,FPC-626,23.236,87247,23.788,80493,17.387,80720,25.436,85521,23.465,81735,24.777,85368,27.962,82998,25.041,85523,27.555,81199,28.937,87369,28.876,DSNY-BRS-1461,27.028,85340,28.946,85471,25.684,80421,31.863,FPC-488
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),11.456,85471,14.241,82998,13.769,FPC-626,15.361,80491,14.251,85517,19.015,FPC-625,22.709,85434,14.105,FPC-559,18.611,80720,28.423,87046,19.438,85340,21.825,84055,24.285,80493,24.57,87247,22.987,DSNY-BRS-2114,24.295,85490,22.95,85544,21.035,85521,19.032,81735,22.808,85368,20.608,85523,25.718,87369,24.314,DSNY-BRS-1461,29.561,FPC-488,30.16,84019
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),10.761,87046,14.984,85434,13.913,FPC-625,14.531,80491,15.054,FPC-559,19.378,84055,15.337,FPC-626,15.459,DSNY-BRS-2114,16.767,85490,24.347,85544,18.39,80720,23.739,87247,23.446,80493,24.825,82998,25.277,85521,23.274,81735,25.028,85368,26.786,85471,26.044,85523,19.808,85340,29.823,87369,27.223,85517,27.208,81199,29.879,DSNY-BRS-1461,31.986,FPC-488
36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124),POINT (-74.00614634416432 40.71886214043471),6.807,82998,9.025,85471,18.542,80491,9.913,85517,19.541,FPC-626,10.943,80720,22.852,FPC-625,18.95,FPC-559,26.546,85434,29.493,87046,17.133,80493,18.625,87247,22.062,84055,17.625,85340,23.683,DSNY-BRS-2114,24.991,85490,26.179,85544,20.635,85521,18.632,81735,15.732,85523,20.156,85368,20.09,87369,16.565,DSNY-BRS-1461,26.424,81199,27.467,FPC-488
36061003400,Manhattan,MN0303,-73.98145767697616,40.72900590859083,POINT (-73.98145767533329 40.729005907658376),POINT (-73.98145767697616 40.72900590859083),10.637,87046,11.399,DSNY-BRS-2114,12.707,85490,17.962,85434,15.967,84055,9.696,FPC-559,16.891,FPC-625,17.509,80491,20.81,85544,19.726,87247,18.315,FPC-626,13.032,80720,19.433,80493,21.113,85521,19.11,81735,21.015,85368,24.015,82998,20.686,85523,24.582,87369,23.671,81199,24.867,85471,24.521,DSNY-BRS-1461,22.786,85340,24.11,85517,28.312,85548
36061003601,Manhattan,MN0302,-73.9911271645957,40.72231932780311,POINT (-73.99112716050642 40.72231932551375),POINT (-73.9911271645957 40.72231932780311),3.034,80491,10.634,FPC-626,13.223,FPC-625,13.78,85434,17.388,FPC-559,13.486,87046,18.599,82998,16.342,80720,20.974,84055,15.241,DSNY-BRS-2114,16.549,85490,21.436,85471,17.513,87247,17.22,80493,23.161,85544,21.873,85517,19.051,85521,17.048,81735,15.877,85340,18.802,85368,21.898,85523,23.597,87369,24.893,DSNY-BRS-1461,26.022,81199,28.055,FPC-488
36061003602,Manhattan,MN0303,-73.99020046176119,40.724560375260566,POINT (-73.99020044930231 40.7245603764933),POINT (-73.99020046176119 40.72456037526057),6.317,80491,14.319,FPC-625,14.963,FPC-559,11.613,FPC-626,15.298,85434,14.464,87046,19.035,82998,16.778,80720,18.26,84055,12.527,DSNY-BRS-2114,13.835,85490,17.949,87247,17.656,80493,19.958,85544,19.896,85471,19.487,85521,17.484,81735,19.238,85368,21.84,85517,22.334,85523,16.313,85340,24.033,87369,25.329,DSNY-BRS-1461,22.819,81199,26.69,85548
36061003700,Manhattan,MN0201,-74.0074867941145,40.726278564944955,POINT (-74.0074867844917 40.726278558965056),POINT (-74.0074867941145 40.72627856494496),4.267,82998,16.101,85471,12.113,80720,17.934,80491,16.697,FPC-559,16.089,85517,23.32,FPC-626,18.303,80493,24.205,FPC-625,19.053,87247,22.946,84055,27.761,85434,27.325,87046,20.497,85521,18.494,81735,27.238,85544,25.654,DSNY-BRS-2114,26.962,85490,16.902,85523,20.248,85368,20.452,87369,22.173,85340,17.735,DSNY-BRS-1461,31.334,85369,26.233,81199
36061003900,Manhattan,MN0102,-74.0107807590449,40.72079553570638,POINT (-74.0107807731053 40.72079547237539),POINT (-74.01078075904491 40.72079553570638),6.159,85471,10.008,82998,14.941,85517,22.415,80491,24.184,FPC-626,15.971,80720,23.37,FPC-559,27.082,FPC-625,30.776,85434,22.161,80493,23.402,87247,33.048,87046,27.09,84055,21.18,85340,24.19,85521,30.409,85544,27.238,DSNY-BRS-2114,22.187,81735,28.546,85490,20.76,85523,23.941,85368,23.645,87369,21.593,DSNY-BRS-1461,35.192,85369,29.979,81199
36061004001,Manhattan,MN0303,-73.9849021192912,40.730264485255454,POINT (-73.98490213004057 40.730264478967435),POINT (-73.98490211929121 40.73026448525545),10.731,FPC-559,13.764,84055,9.845,DSNY-BRS-2114,11.153,85490,13.468,87046,15.697,80491,20.78,85434,19.709,FPC-625,20.484,85544,20.723,87247,14.567,80720,20.968,80493,19.506,FPC-626,22.648,85521,20.645,81735,24.751,82998,22.264,85368,22.221,85523,26.117,87369,24.557,85471,26.056,DSNY-BRS-1461,23.992,81199,24.509,85517,25.367,85340,29.847,85548
36061004002,Manhattan,MN0303,-73.98720895456378,40.73124230289812,POINT (-73.98720896594332 40.73124229637703),POINT (-73.98720895456378 40.73124230289812),7.528,FPC-559,14.145,84055,13.424,80491,12.323,DSNY-BRS-2114,13.631,85490,12.396,80720,15.522,87046,19.09,87247,21.122,85434,17.787,85544,19.82,FPC-625,18.797,80493,16.653,FPC-626,20.233,85521,18.23,81735,22.954,82998,20.379,85368,19.806,85523,23.946,87369,22.418,85471,23.641,DSNY-BRS-1461,21.222,81199,21.661,85517,22.688,85340,27.676,85548
36061004100,Manhattan,MN0201,-73.99669598277335,40.7191636873842,POINT (-73.99669600087324 40.71916366692359),POINT (-73.99669598277335 40.7191636873842),8.124,80491,11.053,FPC-626,14.143,82998,15.842,FPC-625,19.636,85434,17.007,85471,15.831,FPC-559,22.73,87046,19.783,80720,18.951,85517,19.971,84055,21.648,80493,21.941,87247,20.475,DSNY-BRS-2114,21.783,85490,22.501,85340,21.096,85544,18.423,85521,16.42,81735,18.174,85368,20.051,85523,25.469,87369,23.228,DSNY-BRS-1461,32.5,FPC-488,23.957,81199
36061004300,Manhattan,MN0201,-73.99546720645795,40.723324400824275,POINT (-73.99546719978427 40.723324396693656),POINT (-73.99546720645795 40.72332440082427),3.359,80491,15.367,FPC-626,14.819,82998,12.773,FPC-559,16.393,FPC-625,18.659,85434,16.048,80720,18.779,87046,16.438,85471,17.235,84055,16.926,80493,17.219,87247,21.129,DSNY-BRS-2114,22.437,85490,17.916,85517,18.36,85544,16.955,85521,14.952,81735,18.584,85340,16.706,85368,18.76,85523,23.303,87369,21.76,DSNY-BRS-1461,21.221,81199,31.839,85369
36061004500,Manhattan,MN0201,-73.99939082189476,40.72057033019494,POINT (-73.99939084546835 40.72057031667378),POINT (-73.99939082189476 40.72057033019494),10.679,80491,10.458,82998,14.762,FPC-626,14.461,85471,17.432,FPC-625,14.23,FPC-559,18.307,80720,21.126,85434,16.405,85517,23.214,87046,18.332,84055,20.993,80493,21.282,87247,23.701,DSNY-BRS-2114,25.009,85490,19.457,85544,21.419,85340,18.059,85521,16.056,81735,19.832,85368,17.632,85523,25.345,87369,21.467,DSNY-BRS-1461,22.318,81199,31.377,FPC-488
36061005200,Manhattan,MN0501,-73.99045862330036,40.73743473648013,POINT (-73.99045864282371 40.73743472095588),POINT (-73.99045862330036 40.73743473648013),5.262,FPC-559,11.849,84055,12.348,87247,13.865,80493,10.282,80720,16.189,85544,13.35,85521,11.347,81735,16.922,DSNY-BRS-2114,18.23,85490,16.673,80491,15.123,85368,12.923,85523,20.947,82998,20.427,87046,20.636,87369,28.091,85434,24.86,FPC-625,22.581,FPC-626,16.758,DSNY-BRS-1461,19.05,81199,20.246,85471,22.888,85548,27.66,85369,19.489,85517
36061005400,Manhattan,MN0501,-73.99367779133667,40.73881207743306,POINT (-73.99367780718457 40.738812069516676),POINT (-73.99367779133667 40.73881207743306),8.628,80720,10.791,FPC-559,10.373,80493,10.489,87247,15.156,84055,14.326,85521,12.323,81735,20.023,85544,19.563,80491,19.691,DSNY-BRS-2114,14.077,85368,20.999,85490,13.57,85523,15.433,82998,19.881,87369,24.222,87046,24.842,85434,21.386,FPC-625,20.401,FPC-626,14.403,DSNY-BRS-1461,20.708,85471,23.007,81199,28.002,85369,19.328,85548,20.696,85517
36061005501,Manhattan,MN0202,-73.99708180830041,40.727672610534896,POINT (-73.99708181650152 40.72767260351943),POINT (-73.99708180830041 40.7276726105349),11.786,80491,13.577,FPC-559,14.75,82998,17.284,80720,16.726,FPC-626,17.752,FPC-625,17.474,84055,18.285,80493,21.167,85434,18.578,87247,18.537,85471,22.223,87046,22.471,DSNY-BRS-2114,23.779,85490,18.599,85544,18.314,85521,16.311,81735,20.481,85517,18.065,85368,21.161,85523,23.985,87369,19.943,85340,23.119,DSNY-BRS-1461,21.46,81199,33.198,85369
36061005502,Manhattan,MN0202,-73.99387212712992,40.726223496692796,POINT (-73.99387212794875 40.72622349092178),POINT (-73.99387212712992 40.7262234966928),7.766,80491,10.431,FPC-559,16.078,82998,15.017,FPC-626,15.698,80720,16.043,FPC-625,19.458,85434,14.301,84055,18.797,87046,16.869,87247,16.576,80493,15.364,85471,17.49,DSNY-BRS-2114,18.798,85490,15.426,85544,16.605,85521,14.602,81735,17.308,85517,16.356,85368,19.452,85523,22.953,87369,18.234,85340,21.41,DSNY-BRS-1461,18.287,81199,31.489,85369
36061005800,Manhattan,MN0501,-73.99051618494464,40.74315158928294,POINT (-73.99051620582514 40.74315157654082),POINT (-73.99051618494464 40.74315158928294),3.351,87247,3.383,80493,12.249,85521,11.138,84055,10.246,81735,10.599,FPC-559,14.408,85544,12.403,80720,12.0,85368,13.945,85523,15.673,DSNY-BRS-2114,16.981,85490,19.281,87369,15.634,DSNY-BRS-1461,20.021,80491,18.641,82998,20.886,81199,27.337,87046,25.743,85434,22.287,FPC-625,20.559,85548,29.233,85369,21.302,FPC-626,23.916,85471,23.092,85530
36061006300,Manhattan,MN0202,-73.99686078482694,40.734421701854465,POINT (-73.99686080680512 40.734421687788746),POINT (-73.99686078482694 40.73442170185447),9.971,80720,8.478,FPC-559,15.072,80493,15.357,87247,16.824,80491,12.346,82998,17.971,84055,16.378,85521,19.096,85544,14.375,81735,21.578,DSNY-BRS-2114,19.201,FPC-626,22.886,85490,20.086,FPC-625,23.642,85434,15.458,85523,16.129,85368,17.621,85471,20.486,87046,18.979,87369,16.291,DSNY-BRS-1461,17.609,85517,21.957,81199,29.89,85369,21.216,85548
36061006500,Manhattan,MN0202,-73.99957850679242,40.72996721995922,POINT (-73.99957852694195 40.729967207054514),POINT (-73.99957850679242 40.72996721995922),12.48,80720,12.243,82998,13.709,FPC-559,16.522,80491,14.798,80493,18.702,FPC-626,15.091,87247,19.876,85471,20.77,84055,19.587,FPC-625,23.143,85434,24.585,87046,15.879,85521,22.699,85544,13.876,81735,24.169,DSNY-BRS-2114,25.477,85490,20.27,85517,18.119,85523,15.63,85368,18.48,87369,18.952,DSNY-BRS-1461,21.38,85340,24.261,81199,30.763,85369
36061006700,Manhattan,MN0203,-74.00412224839053,40.73045257093796,POINT (-74.0041222640263 40.730452565666816),POINT (-74.00412224839053 40.73045257093796),9.437,82998,11.12,80720,16.285,FPC-559,18.336,80491,15.656,85471,15.563,80493,15.856,87247,19.467,FPC-626,21.843,84055,20.352,FPC-625,15.644,85517,23.908,85434,16.644,85521,14.641,81735,23.464,85544,25.502,87046,25.242,DSNY-BRS-2114,26.55,85490,15.909,85523,16.395,85368,19.245,87369,16.742,DSNY-BRS-1461,22.145,85340,30.341,85369,25.026,81199
36061006800,Manhattan,MN0602,-73.98407917312461,40.740437329601995,POINT (-73.98407919747356 40.740437312260795),POINT (-73.98407917312461 40.740437329602),3.163,84055,7.133,85544,10.945,87247,9.29,DSNY-BRS-2114,10.592,85490,9.657,FPC-559,16.701,85521,12.465,80493,14.698,81735,17.822,85368,15.42,80720,16.774,85523,23.066,87369,20.945,87046,18.162,80491,19.419,DSNY-BRS-1461,28.138,85434,16.542,81199,25.68,FPC-625,22.426,82998,24.654,FPC-626,24.344,85548,32.511,85369,18.748,85530,22.848,85471
36061006900,Manhattan,MN0203,-74.00999837601391,40.73037892172992,POINT (-74.0099984141012 40.73037892288804),POINT (-74.00999837601391 40.73037892172992),13.949,82998,14.784,85471,16.265,80720,24.841,80491,20.739,FPC-559,22.076,80493,20.241,85517,25.98,FPC-626,22.369,87247,27.384,84055,26.865,FPC-625,23.157,85521,21.154,81735,30.421,85434,29.977,85544,21.054,85523,32.015,87046,25.758,87369,29.696,DSNY-BRS-2114,31.004,85490,22.908,85368,21.887,DSNY-BRS-1461,28.658,85340,35.486,85369,26.812,85548
36061007001,Manhattan,MN0603,-73.97582432610801,40.74270836386233,POINT (-73.97582433797677 40.742708355759014),POINT (-73.97582432610801 40.74270836386233),4294967.295,85490,4294967.295,DSNY-BRS-2114,4294967.295,85544,4294967.295,84055,4294967.295,85368,4294967.295,81735,4294967.295,85521,4294967.295,87247,4294967.295,81199,4294967.295,80493,4294967.295,FPC-559,4294967.295,85523,4294967.295,DSNY-BRS-1461,4294967.295,87046,4294967.295,87369,4294967.295,80720,4294967.295,85434,4294967.295,80491,4294967.295,FPC-625,4294967.295,85530,4294967.295,85548,4294967.295,85369,4294967.295,FPC-626,4294967.295,80522,4294967.295,82998
36061007002,Manhattan,MN0603,-73.97813139634542,40.74367558303793,POINT (-73.97813140696958 40.74367557672451),POINT (-73.97813139634542 40.74367558303793),3.9,85544,14.395,85490,13.087,DSNY-BRS-2114,10.188,84055,13.015,81735,13.638,85521,16.651,85368,17.729,87247,19.373,80493,16.741,85523,13.493,FPC-559,15.912,81199,20.555,DSNY-BRS-1461,23.29,87369,19.256,80720,27.169,87046,32.931,85434,21.998,80491,25.48,85548,29.516,FPC-625,18.118,85530,34.075,85369,28.467,FPC-626,27.727,82998,27.399,80522
36061007100,Manhattan,MN0203,-73.99991361124717,40.73544661959126,POINT (-73.99991364404127 40.735446590951895),POINT (-73.99991361124717 40.73544661959126),5.846,80720,12.298,FPC-559,14.858,80493,12.309,82998,15.143,87247,18.002,80491,18.047,84055,16.017,85521,14.014,81735,21.265,85544,17.499,85471,18.84,FPC-626,12.549,85523,21.255,DSNY-BRS-2114,22.563,85490,15.768,85368,19.725,FPC-625,18.618,87369,23.281,85434,23.395,87046,17.572,85517,14.373,DSNY-BRS-1461,27.872,85369,24.399,81199,19.298,85548
36061007200,Manhattan,MN0603,-73.98085592085918,40.74486136560277,POINT (-73.980855944483 40.74486134912044),POINT (-73.98085592085918 40.74486136560277),1.28,85544,7.741,84055,11.823,81735,13.18,85521,14.008,DSNY-BRS-2114,15.316,85490,14.83,85368,15.002,87247,16.646,80493,16.321,85523,10.766,FPC-559,13.185,81199,21.892,87369,20.012,DSNY-BRS-1461,16.529,80720,24.9,87046,24.937,85548,19.271,80491,30.204,85434,32.669,85369,15.391,85530,26.789,FPC-625,25.0,82998,25.763,FPC-626,24.909,80730
36061007300,Manhattan,MN0203,-74.00410623322425,40.73411571546968,POINT (-74.00410625040703 40.73411570394857),POINT (-74.00410623322425 40.73411571546968),8.48,80720,10.157,82998,13.834,FPC-559,14.67,80493,18.418,80491,15.645,87247,15.432,85471,19.392,84055,19.256,FPC-626,16.433,85521,14.43,81735,22.61,85544,20.141,FPC-625,13.269,85523,19.034,87369,23.697,85434,16.184,85368,22.791,DSNY-BRS-2114,15.42,85517,24.099,85490,22.863,87046,14.102,DSNY-BRS-1461,27.701,85369,19.027,85548,24.815,81199
36061007500,Manhattan,MN0203,-74.0087382430871,40.73438603572763,POINT (-74.00873826293508 40.73438603135474),POINT (-74.00873824308709 40.73438603572763),12.059,80720,16.301,82998,19.967,85471,16.491,FPC-559,20.814,80493,24.707,80491,21.934,87247,25.681,84055,25.545,FPC-626,22.722,85521,21.564,85517,20.719,81735,19.413,85523,22.435,87369,27.605,85544,26.43,FPC-625,22.473,85368,29.986,85434,25.448,DSNY-BRS-2114,26.756,85490,29.152,87046,20.246,DSNY-BRS-1461,33.845,85369,25.171,85548,28.216,81199
36061007600,Manhattan,MN0501,-73.98729624839149,40.74756594153478,POINT (-73.98729626957324 40.747565928155815),POINT (-73.98729624839149 40.74756594153478),6.598,85521,4.595,81735,8.31,87247,9.261,85368,8.519,80493,9.688,85544,10.214,85523,13.769,84055,16.667,87369,12.137,FPC-559,18.159,DSNY-BRS-2114,19.467,85490,12.347,DSNY-BRS-1461,14.3,80720,17.905,81199,17.272,85548,24.951,85369,20.061,80491,28.106,87046,19.41,82998,26.956,85434,20.111,85530,23.548,FPC-625,17.244,80730,17.244,81119
36061007700,Manhattan,MN0203,-74.00329385357644,40.73808308576592,POINT (-74.00329385087566 40.73808308035789),POINT (-74.00329385357644 40.73808308576592),6.04,80720,15.29,80493,10.669,FPC-559,13.753,82998,16.782,87247,23.262,80491,20.013,84055,18.737,85521,16.723,81735,17.848,85471,12.898,85523,21.783,85544,16.941,87369,17.322,85368,24.154,FPC-626,19.626,DSNY-BRS-2114,20.934,85490,25.039,FPC-625,28.595,85434,23.525,87046,14.722,DSNY-BRS-1461,19.016,85517,28.221,85369,19.647,85548,22.722,81199
36061007800,Manhattan,MN0603,-73.97467365973009,40.74632537305917,POINT (-73.97467365469602 40.746325367646286),POINT (-73.97467365973009 40.74632537305917),9.537,85544,13.087,85490,11.779,DSNY-BRS-2114,17.817,85368,15.023,84055,14.491,81735,16.602,81199,15.86,85521,20.259,87247,17.088,85523,20.902,DSNY-BRS-1461,21.868,80493,18.481,FPC-559,23.637,87369,22.683,85530,25.827,85548,23.566,80720,26.325,87046,32.808,85434,34.501,85369,25.014,80491,28.633,80522,31.569,FPC-625,25.268,FPC-531,26.299,81119
36061008000,Manhattan,MN0603,-73.9776523314043,40.74925841664874,POINT (-73.9776523544691 40.74925839999048),POINT (-73.9776523314043 40.74925841664874),7.399,85544,10.36,85368,13.776,81735,14.855,85521,18.872,85490,17.587,DSNY-BRS-2114,12.046,84055,13.109,81199,9.631,85523,18.396,87247,13.445,DSNY-BRS-1461,19.259,80493,16.18,87369,13.273,FPC-559,18.37,85548,15.315,85530,18.331,80720,27.044,85369,27.591,87046,18.842,81119,18.842,80730,18.298,DSNY-BRS-1459,34.102,85434,23.169,80491,24.596,80522
36061008100,Manhattan,MN0401,-73.99877177141194,40.739805730412016,POINT (-73.99877174429504 40.739805736019015),POINT (-73.99877177141194 40.73980573041202),2.778,80720,11.816,80493,10.785,FPC-559,12.951,87247,16.745,84055,14.489,85521,12.486,81735,12.278,82998,21.172,85544,10.415,85523,19.726,80491,14.24,85368,15.021,87369,20.483,DSNY-BRS-2114,21.791,85490,16.725,85471,20.564,FPC-626,11.248,DSNY-BRS-1461,21.549,FPC-625,25.005,85434,24.382,87046,24.847,85369,16.173,85548,20.802,81199,17.541,85517
36061008200,Manhattan,MN0502,-73.98087259028384,40.750613781693495,POINT (-73.98087261356555 40.750613765291924),POINT (-73.98087259028384 40.7506137816935),7.715,85368,9.186,81735,10.252,85521,10.964,85544,11.257,85523,13.793,87247,15.611,84055,14.833,DSNY-BRS-1461,12.825,81199,15.925,87369,20.614,DSNY-BRS-2114,21.722,85490,15.313,80493,15.441,FPC-559,19.758,85548,19.719,80720,26.641,85369,17.483,85530,20.23,81119,20.23,80730,19.686,DSNY-BRS-1459,29.759,87046,24.883,80491,34.493,85434,26.764,80522
36061008300,Manhattan,MN0401,-74.00445211268418,40.742198823137,POINT (-74.0044520874449 40.742198824573734),POINT (-74.00445211268418 40.742198823137),7.147,80720,16.748,80493,18.392,87247,12.438,FPC-559,14.575,82998,18.9,85521,16.897,81735,17.394,85523,15.142,87369,21.782,84055,19.283,85368,21.517,80491,23.552,85544,21.011,85471,21.395,DSNY-BRS-2114,22.703,85490,17.064,DSNY-BRS-1461,22.355,FPC-626,23.24,FPC-625,27.59,85369,26.796,85434,25.294,87046,18.872,85548,23.512,85517,20.923,81199
36061008400,Manhattan,MN0502,-73.98409384539356,40.751969910803574,POINT (-73.9840938636639 40.75196990136375),POINT (-73.98409384539356 40.75196991080357),6.136,85368,6.092,81735,8.86,85521,8.157,85523,13.593,85544,12.707,87247,16.147,87369,13.529,DSNY-BRS-1461,14.227,80493,15.813,84055,16.06,81199,20.203,DSNY-BRS-2114,21.511,85490,18.454,85548,14.182,FPC-559,27.128,85369,18.415,80720,20.377,85530,18.926,81119,18.926,80730,18.382,DSNY-BRS-1459,24.208,80491,31.964,87046,31.103,85434,22.962,FPC-531
36061008700,Manhattan,MN0401,-73.99699453343844,40.74224335877817,POINT (-73.99699450431714 40.742243363041865),POINT (-73.99699453343844 40.74224335877817),9.233,80493,4.318,80720,10.846,87247,12.325,FPC-559,15.133,85521,13.13,81735,13.811,84055,10.329,85523,20.048,85544,14.753,85368,16.64,87369,12.192,82998,22.624,80491,18.381,DSNY-BRS-2114,19.689,85490,11.162,DSNY-BRS-1461,23.462,FPC-626,27.903,85434,24.447,FPC-625,25.922,87046,17.467,85471,24.761,85369,16.087,85548,22.813,81199,17.455,85517
36061008900,Manhattan,MN0401,-74.00267744792825,40.74463788717642,POINT (-74.00267742106115 40.74463789059923),POINT (-74.00267744792825 40.74463788717642),9.782,80720,14.607,80493,16.227,87247,15.073,FPC-559,20.521,85521,18.518,81735,16.228,85523,17.128,87369,18.388,84055,20.272,85368,18.527,82998,24.625,85544,25.469,80491,17.061,DSNY-BRS-1461,22.958,DSNY-BRS-2114,24.266,85490,24.581,85471,26.711,85369,26.307,FPC-626,21.986,85548,27.192,FPC-625,30.748,85434,27.929,87046,22.909,81199,24.76,85517
