GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),172.057,85517,178.833,85471,180.446,82998,185.687,FPC-626,178.478,85340,186.773,80491,173.041,80413,174.116,FPC-656,187.853,FPC-566,184.074,80720,159.046,Plentiful-1396,182.423,FPC-559,195.456,85434,189.542,FPC-565,181.875,80289,189.688,80493,189.981,87247,188.673,84055,190.769,85521,188.766,81735,186.649,DSNY-BRS-2114,191.557,85544,187.957,85490,193.649,85528,186.863,85523,190.724,87369,190.52,85368,186.328,FPC-488,186.697,81352,190.204,DSNY-BRS-1461,193.147,85172,171.589,81586,202.186,85369,202.202,85083,195.129,85548,192.732,81199,145.309,85361,199.815,80421,189.064,81157,196.339,Plentiful-1314,203.302,83444,195.633,81111,195.477,FPC-632,196.896,85468,195.477,Plentiful-1480,193.181,80296,193.181,85506,196.896,FPC-631,197.442,FPC-190,191.558,DSNY-BRS-1459
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),10.556,FPC-626,12.063,85434,19.782,80491,18.064,85340,26.547,FPC-559,26.006,82998,26.003,85471,26.396,DSNY-BRS-2114,29.689,84055,27.704,85490,24.905,80720,17.617,85517,29.819,80289,35.325,85528,32.132,85544,26.076,87247,25.783,80493,30.242,FPC-488,30.611,81352,40.165,85083,29.289,FPC-566,27.614,85521,25.611,81735,30.978,FPC-565,27.365,85368,32.332,80421,30.461,85523,32.16,87369,34.993,81199,33.456,DSNY-BRS-1461,38.042,FPC-190,34.213,81111,32.498,FPC-659,40.695,85172,34.817,85548,36.612,81157,43.535,85369,37.199,85530,35.522,81626,40.21,85524,32.756,80413,43.47,87007,30.119,83993,33.662,FPC-656,45.036,85483,49.427,84960,36.914,DSNY-BRS-1459,40.729,85506,39.832,FPC-531,40.729,80296
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,15.494,85434,15.066,80491,13.348,85340,22.446,82998,21.831,FPC-559,22.575,85471,22.479,85517,20.189,80720,25.301,84055,21.941,DSNY-BRS-2114,23.249,85490,25.103,80289,21.36,87247,30.609,85528,21.067,80493,27.416,85544,24.573,FPC-566,25.526,FPC-488,25.895,81352,22.898,85521,26.262,FPC-565,20.895,81735,35.519,85083,22.649,85368,25.745,85523,27.686,80421,27.444,87369,30.277,81199,28.74,DSNY-BRS-1461,35.166,FPC-190,29.497,81111,30.101,85548,38.819,85369,29.622,FPC-659,35.979,85172,31.896,81157,32.483,85530,37.618,80413,38.524,FPC-656,35.494,85524,32.646,81626,38.754,87007,25.403,83993,40.32,85483,34.174,DSNY-BRS-1459,44.711,84960,35.116,FPC-531,36.013,85506,36.013,80296
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),6.804,FPC-626,10.314,85434,14.459,80491,23.072,FPC-559,23.687,82998,14.589,85340,25.976,84055,20.243,DSNY-BRS-2114,23.343,85471,21.551,85490,21.43,80720,23.719,85517,22.601,87247,28.657,85544,22.308,80493,25.814,FPC-566,26.344,80289,31.85,85528,24.139,85521,22.136,81735,34.06,85083,27.503,FPC-565,26.767,FPC-488,23.89,85368,27.136,81352,26.986,85523,28.685,87369,26.227,80421,31.518,81199,29.656,DSNY-BRS-1461,32.072,FPC-190,31.017,85548,30.738,81111,39.735,85369,33.724,85530,26.528,FPC-659,36.735,85524,37.22,85172,39.995,87007,33.137,81157,29.552,81626,41.561,85483,35.415,DSNY-BRS-1459,37.722,80413,45.952,84960,26.644,83993,39.064,FPC-656,36.357,FPC-531,37.254,85506,37.254,80296
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,10.672,FPC-626,10.67,80491,19.997,FPC-559,20.612,82998,24.457,84055,20.107,DSNY-BRS-2114,21.415,85490,18.355,80720,14.472,85340,19.554,85471,25.582,85544,19.526,87247,19.233,80493,19.991,85517,22.739,FPC-566,21.064,85521,19.061,81735,30.469,85083,31.733,85528,24.428,FPC-565,26.227,80289,20.815,85368,23.911,85523,26.65,FPC-488,27.019,81352,25.61,87369,22.636,80421,28.443,81199,26.906,DSNY-BRS-1461,28.267,85548,36.985,85369,28.283,FPC-190,30.649,85530,30.621,81111,32.971,85524,22.739,FPC-659,36.92,87007,38.486,85483,32.34,DSNY-BRS-1459,36.686,85172,33.02,81157,42.877,84960,25.763,81626,33.282,FPC-531,26.527,83993,35.703,80413,36.609,FPC-656,37.137,85506,37.137,80296
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),7.268,80491,6.249,FPC-626,11.894,85434,19.559,FPC-559,19.566,82998,17.917,80720,20.048,85471,21.914,84055,16.489,DSNY-BRS-2114,17.797,85490,19.088,87247,18.795,80493,20.485,85517,14.034,85340,24.647,85544,22.301,FPC-566,23.99,FPC-565,20.059,85521,18.056,81735,19.81,85368,22.906,85523,28.155,85083,25.789,80289,30.523,85528,25.172,87369,24.984,FPC-488,25.353,81352,24.864,DSNY-BRS-1461,27.508,81199,20.322,80421,26.225,85548,34.943,85369,29.714,85530,32.655,85524,29.001,FPC-190,30.183,81111,31.004,DSNY-BRS-1459,36.482,87007,23.361,FPC-659,38.048,85483,32.347,FPC-531,42.439,84960,33.011,85172,32.582,81157,26.385,81626,32.93,80413,34.272,FPC-656,26.089,83993,36.699,85506,36.699,80296
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,15.92,FPC-626,14.449,80491,23.498,FPC-559,20.247,DSNY-BRS-2114,21.555,85490,25.003,84055,26.343,82998,30.563,85544,24.086,80720,25.257,87247,20.494,85340,24.964,80493,37.028,85083,26.052,85471,26.795,85521,24.792,81735,37.755,85528,28.47,FPC-566,26.546,85368,30.159,FPC-565,26.489,85517,32.249,80289,29.642,85523,32.672,FPC-488,33.041,81352,29.195,80421,31.341,87369,33.424,81199,32.637,DSNY-BRS-1461,33.998,85548,34.781,FPC-190,35.63,85530,42.716,85369,36.643,81111,39.058,85524,29.237,FPC-659,42.651,87007,44.217,85483,48.608,84960,32.261,81626,38.071,DSNY-BRS-1459,38.263,FPC-531,39.042,81157,43.125,85172,32.549,83993,42.201,80413,43.107,FPC-656,43.159,85506,32.615,84354
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.656,85434,16.403,80491,17.905,FPC-626,17.729,DSNY-BRS-2114,18.82,85490,18.802,FPC-559,20.307,84055,27.027,85544,22.138,80720,26.156,87247,27.242,82998,34.447,85083,25.863,80493,27.694,85521,25.691,81735,27.445,85368,23.115,85340,27.154,FPC-566,31.058,FPC-565,30.567,85471,29.792,85523,40.376,85528,31.585,81199,32.24,87369,25.802,85517,34.87,80289,35.293,FPC-488,30.435,80421,35.662,81352,33.536,DSNY-BRS-1461,34.897,85548,33.811,85530,43.615,85369,37.239,85524,43.55,87007,39.296,FPC-190,45.116,85483,33.752,FPC-659,39.264,81111,49.507,84960,35.764,FPC-531,37.059,DSNY-BRS-1459,36.776,81626,41.663,81157,35.17,83993,45.663,85172,37.13,84354,41.315,80413,37.716,85363,42.221,FPC-656
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),11.116,85434,14.659,DSNY-BRS-2114,15.75,85490,18.471,80491,15.732,FPC-559,17.237,84055,19.466,FPC-626,23.957,85544,24.196,87247,31.377,85083,19.068,80720,24.899,80493,26.396,85521,29.31,82998,25.146,81735,25.737,85368,24.084,FPC-566,28.543,FPC-565,26.722,85523,24.676,85340,30.627,85471,28.515,81199,40.865,85528,30.618,87369,30.557,DSNY-BRS-1461,27.365,80421,22.732,85517,33.544,FPC-488,36.431,80289,33.913,81352,34.348,85548,30.741,85530,41.459,85369,34.169,85524,42.672,87007,42.18,85483,40.857,FPC-190,48.629,84960,35.313,FPC-659,32.694,FPC-531,40.825,81111,33.989,DSNY-BRS-1459,38.337,81626,43.209,81157,36.731,83993,47.292,85172,38.691,84354,39.277,85363,43.76,85271,43.76,83956
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),14.268,85434,13.699,DSNY-BRS-2114,14.79,85490,16.277,84055,14.051,FPC-559,20.823,80491,22.997,85544,21.818,FPC-626,29.696,85083,23.236,87247,23.788,80493,17.387,80720,25.436,85521,23.465,81735,24.777,85368,27.962,82998,25.041,85523,27.583,FPC-565,22.403,FPC-566,27.555,81199,28.937,87369,28.876,DSNY-BRS-1461,27.028,85340,28.946,85471,39.184,85528,25.684,80421,31.863,FPC-488,32.232,81352,38.333,80289,21.772,85517,29.781,85530,32.667,85548,33.209,85524,39.778,85369,40.991,87007,40.499,85483,46.948,84960,31.013,FPC-531,40.429,FPC-190,32.308,DSNY-BRS-1459,37.665,FPC-659,43.177,81111,40.689,81626,39.083,83993,42.249,81157,45.621,85172,39.914,84354,42.222,80861,40.211,85363,43.867,83311
