GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),171.468,85517,160.368,FPC-457,193.048,85434,190.396,87247,187.825,85521,186.073,85523,182.932,FPC-488,191.434,81199,190.092,85351,135.603,83916
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),12.063,85434,17.654,85517,25.916,87247,28.513,FPC-488,24.369,85521,30.301,85523,35.673,85351,34.382,81199,26.933,FPC-457,45.006,83913
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),15.368,85434,21.278,85517,21.2,87247,23.797,FPC-488,19.653,85521,25.585,85523,30.957,85351,29.666,81199,31.795,FPC-457,40.29,83913
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),10.399,85434,23.392,85517,22.441,87247,20.894,85521,25.038,FPC-488,26.826,85523,30.205,85351,30.907,81199,33.035,FPC-457,41.531,83913
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,19.823,87247,20.595,85517,18.276,85521,24.208,85523,24.931,FPC-488,28.289,81199,26.758,85351,32.392,FPC-457,40.488,83913
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),11.811,85434,19.302,87247,21.09,85517,17.246,85521,23.178,85523,22.535,FPC-488,27.019,81199,24.362,85351,32.887,FPC-457,39.995,83913
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,25.5,87247,23.953,85521,27.093,85517,29.885,85523,30.971,FPC-488,31.345,81199,33.317,85351,46.986,83913,37.318,FPC-457
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.656,85434,25.885,87247,24.037,85521,26.695,85523,28.311,81199,24.042,85517,33.286,FPC-488,33.988,85351,49.931,83913,33.845,FPC-457
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),11.116,85434,22.614,87247,20.766,85521,23.424,85523,25.04,81199,20.771,85517,30.15,FPC-488,30.717,85351,47.498,83913,30.574,FPC-457
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),13.434,85434,21.333,87247,19.485,85521,22.143,85523,23.759,81199,28.869,FPC-488,20.838,85517,29.436,85351,46.217,83913,30.826,FPC-624
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),12.585,85517,22.817,85434,22.767,87247,17.946,85521,20.604,85523,27.701,FPC-488,23.412,81199,34.425,85351,24.096,FPC-457,43.138,83913
